pub_reference
Davis (2010)
Bernstein et al. (2011)
"De Bruin et al., 2005"
"Fisk et al., 2001"
Forcella 2013
Delate et al. 2012
"Gallagher et al., 2003"
"Gieske et al., 2016"
Hoffman et al. 1993
"Mock et al., 2012"
"Werle et al., 2017"
"Crawford et al., 2018"
"Cornelius and Bradley,"
"Currie and Klocke, 2005"
"Williams et al., 1998"
