obs_no,entered_by,study,pub_reference,pub_year,loc_citystate,loc_state,lat,long,exp_type,reps,MAP,MAT,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,msmt_season,msmt_planting,weed_group,cc_pDATE,cc_pMNTH,cc_pMNTH2,cc_pDOM,cc_pDEN_kgha,cc_pMETH,cc_termDATE,cc_termMNTH,cc_termMNTH2,cc_termDOM,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,crop_pMNTH,crop_pMNTH2,crop_pDOM,cc_bio_kgha,cc_bmSE,ccden,cc_wdenSE,ctlden,ctl_wdenSE,ccbio,cc_wbioSE,ctlbio,ctl_wbioSE,cc_yield_kgha,cc_yieldSE,ctl_yield_kgha,ctl_yieldSE,NOTES
11,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,39224.0,May,5,22,roller crimper,M,soybean,39231.0,May,5,29,6000.0,NA,NA,NA,NA,NA,761,NA,4250,NA,1660,NA,1266,NA,NA
12,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,39224.0,May,5,22,roller crimper,M,soybean,39231.0,May,5,29,6300.0,NA,NA,NA,NA,NA,1998,NA,4250,NA,1767,NA,1266,NA,NA
13,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852.0,26.65833282,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,after,NA,NA,Oct,10.0,NA,180.0,drilled,NA,June,6,NA,mowed,M,soybean,NA,May,5,NA,939.0,NA,NA,NA,NA,NA,5,NA,26,NA,2505,NA,3618,NA,Weed management explicit in objectives. Pooling possible (see Table 4 of paper)
14,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852.0,26.65833282,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,after,NA,NA,Oct,10.0,NA,180.0,drilled,NA,June,6,NA,roller crimper,M,soybean,NA,May,5,NA,604.0,NA,NA,NA,NA,NA,7,NA,26,NA,2885,NA,3618,NA,"I.e. comparison 1,3,5 (all mowed) and 2,4 (crimped) are of interest not planting date of main crop"
15,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852.0,26.65833282,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,after,NA,NA,Oct,10.0,NA,180.0,drilled,NA,June,6,NA,mowed,M,soybean,NA,May,5,NA,1212.0,NA,NA,NA,NA,NA,5,NA,26,NA,2944,NA,3618,NA,weeds measured in mid-July
16,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852.0,26.65833282,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,after,NA,NA,Oct,10.0,NA,180.0,drilled,NA,June,6,NA,roller crimper,M,soybean,NA,June,6,NA,186.0,NA,NA,NA,NA,NA,6,NA,26,NA,2751,NA,3618,NA,NA
17,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852.0,26.65833282,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,after,NA,NA,Oct,10.0,NA,180.0,drilled,NA,June,6,NA,mowed,M,soybean,NA,June,6,NA,345.0,NA,NA,NA,NA,NA,10,NA,26,NA,2599,NA,3618,NA,NA
18,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37377.0,May,5,1,herbicide 2x,H,soybean,37390.0,May,5,14,375.0,NA,2.5,NA,8.8,NA,45.3,NA,60.1,NA,2890,NA,2570,NA,Weed suppression appears secondary from their objectives. Pooling can occur over cc_termMETH (column AC) and year - exp trt: 1 / control trt: 17
19,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37384.0,May,5,8,herbicide 2x,H,soybean,37390.0,May,5,14,851.0,NA,2.3,NA,8.8,NA,26.8,NA,60.1,NA,2900,NA,2570,NA,"I.e. we could have 3 points for this study M, H and D - exp trt: 2 / control trt: 17 / weeds measured second week of June"
20,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37396.0,May,5,20,herbicide 2x,H,soybean,37390.0,May,5,14,2185.0,NA,1.6,NA,8.8,NA,29.2,NA,60.1,NA,3310,NA,2570,NA,Comparisons are (1-3 / 17) (4-9 / 16) (18 / 22) - exp trt: 3 / control trt: 17
21,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37377.0,May,5,1,herbicide 1x,H,soybean,37390.0,May,5,14,375.0,NA,56.6,NA,6.4,NA,344.8,NA,64.4,NA,300,NA,2840,NA,exp trt: 4 / control trt: 16
22,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37384.0,May,5,8,herbicide 1x,H,soybean,37390.0,May,5,14,851.0,NA,37.4,NA,6.4,NA,221.3,NA,64.4,NA,780,NA,2840,NA,exp trt: 5 / control trt: 16
23,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37396.0,May,5,20,herbicide 1x,H,soybean,37390.0,May,5,14,2185.0,NA,14.4,NA,6.4,NA,146.3,NA,64.4,NA,1060,NA,2840,NA,exp trt: 6 / control trt: 16
24,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37377.0,May,5,1,herbicide  1x + mowing,D,soybean,37390.0,May,5,14,375.0,NA,12.1,NA,6.4,NA,47.8,NA,64.4,NA,2130,NA,2840,NA,exp trt: 7 / control trt: 16
25,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37384.0,May,5,8,herbicide  1x + mowing,D,soybean,37390.0,May,5,14,851.0,NA,4.1,NA,6.4,NA,73.1,NA,64.4,NA,2690,NA,2840,NA,exp trt: 8 / control trt: 16
26,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37396.0,May,5,20,herbicide  1x + mowing,D,soybean,37390.0,May,5,14,2185.0,NA,3.6,NA,6.4,NA,20.9,NA,64.4,NA,2920,NA,2840,NA,exp trt: 9 / control trt: 16
27,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766.0,22.84166718,0.8636,NA,silt loam,NA,cereal rye,grass,N,N,summer,after,summer annual,37182.0,Oct,10.0,18,125.0,drilled,37404.0,May,5,28,herbicide 2x,H,soybean,37406.0,May,5,30,3768.0,NA,2.1,NA,0.8,NA,7.5,NA,1.2,NA,3140,NA,1780,NA,NA
28,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,santiago medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,3100.0,NA,53,NA,91,NA,65.7,NA,234,NA,NA,NA,NA,NA,NA
29,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,mogul medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,5300.0,NA,29,NA,91,NA,52.5,NA,234,NA,NA,NA,NA,NA,Can pool over year or take latter year measurements (could reduce to 4 points)
30,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,red clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,4100.0,NA,20.3,NA,91,NA,51.4,NA,234,NA,NA,NA,NA,NA,"There are three sets of 16 comparisons for summer, winter and perennial weeds, SUM?"
31,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,berseem clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,34834.0,May,5,15,1900.0,NA,29,NA,91,NA,46.2,NA,234,NA,NA,NA,NA,NA,"Rotation is Wheat-Corn, do we include? I think it is OK to keep this. Our criteria is that a cc is grown preceding corn/soy"
32,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,santiago medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2200.0,NA,19.5,NA,30.5,NA,19.9,NA,43,NA,NA,NA,NA,NA,NA
33,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,mogul medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1800.0,NA,39.5,NA,30.5,NA,35.1,NA,43,NA,NA,NA,NA,NA,weed suppression is in the title - clear objective of this analysis
34,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,red clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1300.0,NA,17.3,NA,30.5,NA,12.5,NA,43,NA,NA,NA,NA,NA,Table 1 is weed measurements in early May (spring sampling)
35,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,berseem clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,35200.0,May,5,15,NA,NA,NA,NA,30.5,NA,NA,NA,43,NA,NA,NA,NA,NA,Table 3 is weed density 60 days after herbicide app (summer sampling
36,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,santiago medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2000.0,NA,21,NA,26.8,NA,70.8,NA,124,NA,NA,NA,NA,NA,This one would be good to discuss in more detail
37,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,mogul medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2300.0,NA,19.5,NA,26.8,NA,51.7,NA,124,NA,NA,NA,NA,NA,NA
38,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,red clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2200.0,NA,20.5,NA,26.8,NA,42.4,NA,124,NA,NA,NA,NA,NA,NA
39,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,berseem clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,34834.0,May,5,15,1400.0,NA,22.5,NA,26.8,NA,74.4,NA,124,NA,NA,NA,NA,NA,NA
40,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,santiago medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2800.0,NA,29.3,NA,81.8,NA,9.4,NA,76.3,NA,NA,NA,NA,NA,NA
41,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,mogul medic,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2400.0,NA,57.5,NA,81.8,NA,41.1,NA,76.3,NA,NA,NA,NA,NA,NA
42,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,red clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1600.0,NA,27.8,NA,81.8,NA,26.3,NA,76.3,NA,NA,NA,NA,NA,NA
43,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,berseem clover,legume,N,N,spring,before,winter annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,35200.0,May,5,15,1700.0,NA,77.3,NA,81.8,NA,56.6,NA,76.3,NA,NA,NA,NA,NA,NA
44,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,santiago medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,3100.0,NA,4,NA,42.1,NA,2.2,NA,8.6,NA,NA,NA,NA,NA,NA
45,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,mogul medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,5300.0,NA,4.8,NA,42.1,NA,2.4,NA,8.6,NA,NA,NA,NA,NA,NA
46,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,red clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,4100.0,NA,46.5,NA,42.1,NA,2.3,NA,8.6,NA,NA,NA,NA,NA,NA
47,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,berseem clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,34834.0,May,5,15,1900.0,NA,7.8,NA,42.1,NA,2.9,NA,8.6,NA,NA,NA,NA,NA,NA
48,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,santiago medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2200.0,NA,29.8,NA,37.8,NA,2.2,NA,7.9,NA,NA,NA,NA,NA,NA
49,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,mogul medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1800.0,NA,36.3,NA,37.8,NA,2.4,NA,7.9,NA,NA,NA,NA,NA,NA
50,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,red clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1300.0,NA,10.5,NA,37.8,NA,2.3,NA,7.9,NA,NA,NA,NA,NA,NA
51,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,berseem clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,35200.0,May,5,15,NA,NA,NA,NA,37.8,NA,2.9,NA,7.9,NA,NA,NA,NA,NA,NA
52,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,santiago medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2000.0,NA,22.5,NA,18.8,NA,4.7,NA,8.6,NA,NA,NA,NA,NA,NA
53,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,mogul medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2300.0,NA,14,NA,18.8,NA,12.2,NA,8.6,NA,NA,NA,NA,NA,NA
54,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,red clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,2200.0,NA,17.3,NA,18.8,NA,4.5,NA,8.6,NA,NA,NA,NA,NA,NA
55,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,berseem clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,34834.0,May,5,15,1400.0,NA,24.5,NA,18.8,NA,NA,NA,8.6,NA,NA,NA,NA,NA,NA
56,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,santiago medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2800.0,NA,5.8,NA,12.3,NA,4.7,NA,7.9,NA,NA,NA,NA,NA,NA
57,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,mogul medic,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,2400.0,NA,15.5,NA,12.3,NA,12.2,NA,7.9,NA,NA,NA,NA,NA,NA
58,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,red clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,winter kill,W,corn,35200.0,May,5,15,1600.0,NA,13,NA,12.3,NA,4.5,NA,7.9,NA,NA,NA,NA,NA,NA
59,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904.0,32.49166489,0.9297,NA,loam,6.7,berseem clover,legume,N,N,summer,after,summer annual,NA,Aug,8.0,NA,16.8,drilled,NA,NA,NA,NA,herbicide,H,corn,35200.0,May,5,15,1700.0,NA,9.8,NA,12.3,NA,NA,NA,7.9,NA,NA,NA,NA,NA,NA
60,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,santiago medic,legume,N,N,summer,after,perennial,NA,Aug,8.0,NA,13.4,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,3100.0,NA,5.5,NA,10.3,NA,0.8,NA,1.1,NA,NA,NA,NA,NA,Rows 61-76 represent data for perennial weeds measured in the summer
61,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901.0,32.47500229,0.9202,NA,loam,6.7,mogul medic,legume,N,N,summer,after,perennial,NA,Aug,8.0,NA,15.7,drilled,NA,NA,NA,NA,winter kill,W,corn,34834.0,May,5,15,5300.0,NA,5.3,NA,10.3,NA,0.8,NA,0.4,NA,NA,NA,NA,NA,NA
