obs_no,entered_by,study,pub_reference,pub_year,loc_citystate,loc_state,lat,long,exp_type,reps,MAP,MAT,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,msmt_season,msmt_planting,weed_group,cc_pDATE,cc_pMNTH,cc_pMNTH2,cc_pDOM,cc_pDEN_kgha,cc_pMETH,cc_termDATE,cc_termMNTH,cc_termMNTH2,cc_termDOM,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,crop_pMNTH,crop_pMNTH2,crop_pDOM,cc_bio_kgha,cc_bmSE,ccden,cc_wdenSE,ctlden,ctl_wdenSE,ccbio,cc_wbioSE,ctlbio,ctl_wbioSE,cc_yield_kgha,cc_yieldSE,ctl_yield_kgha,ctl_yieldSE,NOTES
1,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,38485.0,May,5,13,herbicide,H,soybean,38496.0,May,5,24,7100.0,NA,NA,NA,NA,NA,1652,NA,2976,NA,2072,NA,2470,NA,Unsure of where weed biomass data are taken from?
2,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,38485.0,May,5,13,herbicide,H,soybean,38496.0,May,5,24,3500.0,NA,NA,NA,NA,NA,4361,NA,2976,NA,2075,NA,2470,NA,There is a Davis data set in dropbox maybe Gina reached out to Adam Davis?
3,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,38489.0,May,5,17,roller crimper,M,soybean,38496.0,May,5,24,7100.0,NA,NA,NA,NA,NA,1146,NA,5198,NA,2387,NA,1854,NA,Could pool over years or take last year
4,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,38489.0,May,5,17,roller crimper,M,soybean,38496.0,May,5,24,3500.0,NA,NA,NA,NA,NA,2766,NA,5198,NA,391,NA,1854,NA,weeds measured in late June
5,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,38849.0,May,5,12,herbicide,H,soybean,38870.0,June,6,2,6000.0,NA,NA,NA,NA,NA,403,NA,1609,NA,3361,NA,3372,NA,NA
6,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,38849.0,May,5,12,herbicide,H,soybean,38870.0,June,6,2,6200.0,NA,NA,NA,NA,NA,2423,NA,1609,NA,2790,NA,3372,NA,intro states that investigating weed control w/ ccs is an explicit goal of study
7,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,38859.0,May,5,22,roller crimper,M,soybean,38870.0,June,6,2,6000.0,NA,NA,NA,NA,NA,291,NA,1714,NA,2990,NA,2300,NA,they had to plant weeds before this study - foxtail and waterhemp
8,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,38859.0,May,5,22,roller crimper,M,soybean,38870.0,June,6,2,6200.0,NA,NA,NA,NA,NA,2388,NA,1714,NA,2838,NA,2300,NA,NA
9,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,after,summer annual,NA,Sep,9.0,NA,33.0,drilled,39213.0,May,5,11,herbicide,H,soybean,39231.0,May,5,29,6000.0,NA,NA,NA,NA,NA,2860,NA,2113,NA,2304,NA,2011,NA,NA
10,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007.0,33.68333435,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,after,summer annual,NA,Sep,9.0,NA,112.0,drilled,39213.0,May,5,11,herbicide,H,soybean,39231.0,May,5,29,6300.0,NA,NA,NA,NA,NA,2857,NA,2113,NA,1962,NA,2011,NA,NA
