resp,mod,modlvl,est
den,cc_type2,modgrass,-0.4678792016347178
den,cc_type2,modnon-grass,-0.014489188814051231
den,cc_type2,modgrass,-0.8738235914513007
den,cc_type2,modnon-grass,-0.05351817593103041
den,cc_type2,modgrass,-0.20754488761470372
den,cc_type2,modnon-grass,-0.0222948487399638
den,cc_type2,modgrass,-0.13289160949389853
den,cc_type2,modnon-grass,-0.08827531832946964
den,cc_type2,modgrass,-0.18000266186255628
den,cc_type2,modnon-grass,-0.08713948214203357
den,cc_type2,modgrass,-0.17452413078907436
den,cc_type2,modnon-grass,0.03626086137679137
den,cc_type2,modgrass,-0.5884114349899537
den,cc_type2,modnon-grass,-0.28684586608722945
den,cc_type2,modgrass,-0.9008282674137857
den,cc_type2,modnon-grass,-0.16106567778437933
den,cc_type2,modgrass,-0.19205488363270276
den,cc_type2,modnon-grass,0.20140405579857437
den,cc_type2,modgrass,-0.4295161789914281
den,cc_type2,modnon-grass,-0.020829901720707724
den,cc_type2,modgrass,-0.3963408490300097
den,cc_type2,modnon-grass,-0.19037131109245167
den,cc_type2,modgrass,-0.6198804167799846
den,cc_type2,modnon-grass,-0.5217021609163126
den,cc_type2,modgrass,-0.3796113335314204
den,cc_type2,modnon-grass,-0.06903010638254282
den,cc_type2,modgrass,-0.29226156890448035
den,cc_type2,modnon-grass,0.06918212241421025
den,cc_type2,modgrass,-0.7530308359639627
den,cc_type2,modnon-grass,-0.20270880638214517
den,cc_type2,modgrass,-0.536681331337124
den,cc_type2,modnon-grass,-0.06546125318760344
den,cc_type2,modgrass,-0.32428537142873587
den,cc_type2,modnon-grass,-0.025043070716164243
den,cc_type2,modgrass,-0.3638091413517232
den,cc_type2,modnon-grass,0.006002988242294536
den,cc_type2,modgrass,-0.7463442876693435
den,cc_type2,modnon-grass,-0.2752231131283962
den,cc_type2,modgrass,-0.688989907727013
den,cc_type2,modnon-grass,-0.23601464054524007
den,cc_type2,modgrass,-0.6932305757018975
den,cc_type2,modnon-grass,-0.19059048507864226
den,cc_type2,modgrass,-0.5601211287131247
den,cc_type2,modnon-grass,-0.11886737256396507
den,cc_type2,modgrass,-0.5782731861810446
den,cc_type2,modnon-grass,-0.032837148152586884
den,cc_type2,modgrass,-0.80766145227568
den,cc_type2,modnon-grass,-0.2289427507995806
den,cc_type2,modgrass,-0.2911984952099543
den,cc_type2,modnon-grass,-0.23086276356771362
den,cc_type2,modgrass,-0.9575988078133877
den,cc_type2,modnon-grass,-0.25643171436758233
den,cc_type2,modgrass,-1.0313135954551944
den,cc_type2,modnon-grass,-0.25555663691512737
den,cc_type2,modgrass,-0.31037989529138943
den,cc_type2,modnon-grass,-0.2131457088675339
den,cc_type2,modgrass,-0.4830031447813024
den,cc_type2,modnon-grass,-0.055963943434356664
den,cc_type2,modgrass,-0.07727426465621104
den,cc_type2,modnon-grass,0.043191494939899884
den,cc_type2,modgrass,-0.3569654105654914
den,cc_type2,modnon-grass,-0.056531938512755356
den,cc_type2,modgrass,-0.5688491600318594
