modlvl,est,se,df,p_val,cilo,cihi,resp,mod_code
corn,-0.843583660184774,0.3496487663035381,1.598195549420186,0.16802982837448638,-2.77548612690777,1.088318806538222,den,crop_follow
soybean,-0.024173686852052012,0.3384963425722407,2.7860731256114897,0.9478809168161085,-1.1497600888151847,1.1014127151110809,den,crop_follow
corn,-0.6486951590835635,0.17620254824683015,60.99999999793757,4.932165099903764e-4,-1.0010339302943745,-0.2963563878727523,bio,crop_follow
soybean,-0.12723132345904897,0.13753639125407371,60.999999998135564,0.35857275336780525,-0.40225233520595643,0.1477896882878585,bio,crop_follow
