resp,mod,modlvl,est
bio,cc_type2,modgrass,-1.0480853076845331
bio,cc_type2,modnon-grass,-0.08097063732767079
bio,cc_type2,modgrass,-1.4071764489681797
bio,cc_type2,modnon-grass,-0.8201202261416142
bio,cc_type2,modgrass,-1.4202932817770086
bio,cc_type2,modnon-grass,-0.6184540528288717
bio,cc_type2,modgrass,-0.9983046337620525
bio,cc_type2,modnon-grass,0.05001172266573399
bio,cc_type2,modgrass,-1.1523233088887344
bio,cc_type2,modnon-grass,-0.09106471054873858
bio,cc_type2,modgrass,-1.5298360946424994
bio,cc_type2,modnon-grass,-0.4191085908289396
bio,cc_type2,modgrass,-1.0393749966751804
bio,cc_type2,modnon-grass,0.12034529521110218
bio,cc_type2,modgrass,-0.9551026641805527
bio,cc_type2,modnon-grass,-0.22699170938100488
bio,cc_type2,modgrass,-0.8765318808365075
bio,cc_type2,modnon-grass,0.1700065046559055
bio,cc_type2,modgrass,-1.288657798536576
bio,cc_type2,modnon-grass,-0.2909968964894607
bio,cc_type2,modgrass,-1.082132796687324
bio,cc_type2,modnon-grass,-0.1751368099339745
bio,cc_type2,modgrass,-1.0001184110036168
bio,cc_type2,modnon-grass,-0.3734206263623815
bio,cc_type2,modgrass,-0.8331259334450594
bio,cc_type2,modnon-grass,-0.1336041446029178
bio,cc_type2,modgrass,-1.552878699381375
bio,cc_type2,modnon-grass,-0.4064318935541158
bio,cc_type2,modgrass,-1.299779679584361
bio,cc_type2,modnon-grass,-0.11066777902115696
bio,cc_type2,modgrass,-0.7729940427159379
bio,cc_type2,modnon-grass,-0.07448455179979901
bio,cc_type2,modgrass,-0.992593427500514
bio,cc_type2,modnon-grass,0.08040910387643027
bio,cc_type2,modgrass,-1.3161899165752171
bio,cc_type2,modnon-grass,-0.26405109946846433
bio,cc_type2,modgrass,-0.8152036022069669
bio,cc_type2,modnon-grass,-0.09889550066006846
bio,cc_type2,modgrass,-1.5598552315141552
bio,cc_type2,modnon-grass,-0.44555705574629395
bio,cc_type2,modgrass,-1.4634971270479002
bio,cc_type2,modnon-grass,-0.46442442268702183
bio,cc_type2,modgrass,-1.386294847473535
bio,cc_type2,modnon-grass,-0.47553337324008915
bio,cc_type2,modgrass,-0.9692070516221202
bio,cc_type2,modnon-grass,-0.13418361365586912
bio,cc_type2,modgrass,-0.9516029549550296
bio,cc_type2,modnon-grass,-0.09087639913202325
bio,cc_type2,modgrass,-1.2196497094335816
bio,cc_type2,modnon-grass,-0.34101463130354265
bio,cc_type2,modgrass,-1.3431650586733532
bio,cc_type2,modnon-grass,-0.6227929046012596
bio,cc_type2,modgrass,-1.052294563752914
bio,cc_type2,modnon-grass,0.10636534192430866
bio,cc_type2,modgrass,-1.446581959316264
bio,cc_type2,modnon-grass,-0.12829480763723028
bio,cc_type2,modgrass,-0.9196474582802625
bio,cc_type2,modnon-grass,-0.18861777836807828
bio,cc_type2,modgrass,-1.3198365962189953
bio,cc_type2,modnon-grass,-0.21213331302438987
bio,cc_type2,modgrass,-1.0159875938015726
bio,cc_type2,modnon-grass,0.03815996183566612
bio,cc_type2,modgrass,-1.3424058732246256
bio,cc_type2,modnon-grass,-0.2674168054838818
bio,cc_type2,modgrass,-1.2028951241915493
bio,cc_type2,modnon-grass,-0.1426786514394781
bio,cc_type2,modgrass,-1.1233687592399932
bio,cc_type2,modnon-grass,0.08300945599652215
bio,cc_type2,modgrass,-1.4858894764715433
bio,cc_type2,modnon-grass,-0.1667968021245329
bio,cc_type2,modgrass,-1.0443132283416712
bio,cc_type2,modnon-grass,-0.19110009560568555
bio,cc_type2,modgrass,-0.8805668735208887
bio,cc_type2,modnon-grass,0.06071582864986718
bio,cc_type2,modgrass,-0.827902257794939
bio,cc_type2,modnon-grass,-0.04249516371515117
bio,cc_type2,modgrass,-0.9861562802275616
bio,cc_type2,modnon-grass,-0.021161197977926902
bio,cc_type2,modgrass,-0.5970855431297787
bio,cc_type2,modnon-grass,-0.1317554664986453
bio,cc_type2,modgrass,-1.1395531140407633
bio,cc_type2,modnon-grass,0.04988471285623087
bio,cc_type2,modgrass,-1.803664758707308
bio,cc_type2,modnon-grass,-0.4429210016159102
bio,cc_type2,modgrass,-0.9547583348671576
bio,cc_type2,modnon-grass,-0.22511301367467978
bio,cc_type2,modgrass,-1.3286368340682113
bio,cc_type2,modnon-grass,-0.18712563993551448
bio,cc_type2,modgrass,-1.2545415635550972
bio,cc_type2,modnon-grass,-0.09360336794268843
bio,cc_type2,modgrass,-1.110695754325976
bio,cc_type2,modnon-grass,-0.24778715201230478
bio,cc_type2,modgrass,-1.4268016800289676
bio,cc_type2,modnon-grass,-0.37781284944243165
bio,cc_type2,modgrass,-1.07587633371183
bio,cc_type2,modnon-grass,-0.1786579264524495
bio,cc_type2,modgrass,-1.0512181305987398
bio,cc_type2,modnon-grass,-0.08203816452925164
bio,cc_type2,modgrass,-1.601730418101851
bio,cc_type2,modnon-grass,-0.2689285947458099
bio,cc_type2,modgrass,-0.8446616087202263
bio,cc_type2,modnon-grass,-0.3492911117672854
bio,cc_type2,modgrass,-1.071146122733676
bio,cc_type2,modnon-grass,-0.04763486611383369
bio,cc_type2,modgrass,-1.502175543385841
bio,cc_type2,modnon-grass,-0.5965682909225958
bio,cc_type2,modgrass,-1.4075981367460413
bio,cc_type2,modnon-grass,-0.21548316535192674
bio,cc_type2,modgrass,-1.0397590692636207
bio,cc_type2,modnon-grass,-0.10543968974141715
bio,cc_type2,modgrass,-0.9860491578235975
bio,cc_type2,modnon-grass,-0.2240753341794216
bio,cc_type2,modgrass,-1.3482677707851853
bio,cc_type2,modnon-grass,-0.5571406713215811
bio,cc_type2,modgrass,-0.7078164060684355
bio,cc_type2,modnon-grass,-0.1754938437664904
bio,cc_type2,modgrass,-1.4108229609474519
bio,cc_type2,modnon-grass,-0.2629924302661911
bio,cc_type2,modgrass,-1.2379067329339126
bio,cc_type2,modnon-grass,0.05767223144989143
bio,cc_type2,modgrass,-0.8042277481885074
bio,cc_type2,modnon-grass,-0.04923971660523152
bio,cc_type2,modgrass,-1.6550769561542675
bio,cc_type2,modnon-grass,-0.7462732730145969
bio,cc_type2,modgrass,-1.4963055559180225
bio,cc_type2,modnon-grass,-0.5664129082343453
bio,cc_type2,modgrass,-0.8433728707834371
bio,cc_type2,modnon-grass,0.03629413496198781
bio,cc_type2,modgrass,-1.6128547692504496
bio,cc_type2,modnon-grass,-0.5942733405373661
bio,cc_type2,modgrass,-1.5921217181694123
bio,cc_type2,modnon-grass,-0.3399906005915101
bio,cc_type2,modgrass,-0.6093261828449459
bio,cc_type2,modnon-grass,-0.22552143223073015
bio,cc_type2,modgrass,-1.3781888370095388
bio,cc_type2,modnon-grass,-0.027528846344797585
bio,cc_type2,modgrass,-0.7607189651440298
bio,cc_type2,modnon-grass,-0.14555773638258918
bio,cc_type2,modgrass,-1.0888635305361005
bio,cc_type2,modnon-grass,-0.012326671630237991
bio,cc_type2,modgrass,-1.2549433999368265
bio,cc_type2,modnon-grass,-0.18390728310137047
bio,cc_type2,modgrass,-1.2663615177356224
bio,cc_type2,modnon-grass,-0.40572703532844345
bio,cc_type2,modgrass,-1.639063371605118
bio,cc_type2,modnon-grass,-0.39537325109455773
bio,cc_type2,modgrass,-1.1233170815822369
bio,cc_type2,modnon-grass,-0.3200364219722351
bio,cc_type2,modgrass,-0.7806380864374882
bio,cc_type2,modnon-grass,-0.07055016118792119
bio,cc_type2,modgrass,-1.3225944349753125
bio,cc_type2,modnon-grass,-0.2443060582836017
bio,cc_type2,modgrass,-1.5888451088571414
bio,cc_type2,modnon-grass,-0.13141340883290217
bio,cc_type2,modgrass,-1.4432136997336353
bio,cc_type2,modnon-grass,-0.2959521758760991
bio,cc_type2,modgrass,-1.00381781084394
bio,cc_type2,modnon-grass,-0.0452209951815422
bio,cc_type2,modgrass,-1.0316301169871627
bio,cc_type2,modnon-grass,0.172122020856313
bio,cc_type2,modgrass,-1.0140906133996133
bio,cc_type2,modnon-grass,-0.024832362112981572
bio,cc_type2,modgrass,-1.046258421100153
bio,cc_type2,modnon-grass,-0.1340142653246741
bio,cc_type2,modgrass,-0.7838206151397153
bio,cc_type2,modnon-grass,-0.04634602913597862
bio,cc_type2,modgrass,-1.5186124560591918
bio,cc_type2,modnon-grass,-0.6292036994523402
bio,cc_type2,modgrass,-1.292013714303302
bio,cc_type2,modnon-grass,-0.03550374927863938
bio,cc_type2,modgrass,-1.4534929602532736
bio,cc_type2,modnon-grass,-0.5374284523829431
bio,cc_type2,modgrass,-0.724113592941786
bio,cc_type2,modnon-grass,0.036624930668001675
bio,cc_type2,modgrass,-1.0446996112569746
bio,cc_type2,modnon-grass,-0.17614748933991245
bio,cc_type2,modgrass,-1.5603041148400227
bio,cc_type2,modnon-grass,0.04712161428470953
bio,cc_type2,modgrass,-0.8534324134747997
bio,cc_type2,modnon-grass,-0.08771284031991458
bio,cc_type2,modgrass,-0.8251286557713884
bio,cc_type2,modnon-grass,-0.2813723243952301
bio,cc_type2,modgrass,-1.223611799801271
bio,cc_type2,modnon-grass,-0.05317186262003766
bio,cc_type2,modgrass,-1.1143265443223038
bio,cc_type2,modnon-grass,-0.19824382368254398
bio,cc_type2,modgrass,-0.8051546002845773
bio,cc_type2,modnon-grass,-0.3070369862837075
bio,cc_type2,modgrass,-0.7860526405120704
bio,cc_type2,modnon-grass,-0.21722754916261552
bio,cc_type2,modgrass,-1.2694371643639697
bio,cc_type2,modnon-grass,-0.15216691872351948
bio,cc_type2,modgrass,-1.2897450956467915
bio,cc_type2,modnon-grass,-0.3958398691185326
bio,cc_type2,modgrass,-0.856315106773322
bio,cc_type2,modnon-grass,-0.15335601009563843
bio,cc_type2,modgrass,-1.3706002401846957
bio,cc_type2,modnon-grass,-0.07644757302591697
bio,cc_type2,modgrass,-1.4098790730730208
bio,cc_type2,modnon-grass,-0.273000596730334
bio,cc_type2,modgrass,-0.9491178832181422
bio,cc_type2,modnon-grass,-0.1793522000358182
bio,cc_type2,modgrass,-0.6433000658888428
bio,cc_type2,modnon-grass,0.15576160142956105
bio,cc_type2,modgrass,-1.1210681071750708
bio,cc_type2,modnon-grass,-0.37660932822858817
bio,cc_type2,modgrass,-0.9436017148090778
bio,cc_type2,modnon-grass,-0.3041457617642696
bio,cc_type2,modgrass,-1.1015504264537561
bio,cc_type2,modnon-grass,-0.2454358580989938
bio,cc_type2,modgrass,-1.6525791601836726
bio,cc_type2,modnon-grass,-0.5292008229559861
bio,cc_type2,modgrass,-1.058546733466325
bio,cc_type2,modnon-grass,-0.14211361983671586
