obs_no,study,wgt,lrr,ccbio_kgha
1,1,2,-0.5885934418720592,7100
2,1,2,0.38212127188978395,3500
3,1,2,-1.5119963179267508,7100
4,1,2,-0.6308717029767321,3500
5,1,2,-1.3844315850457003,6000
6,1,2,0.4093935738241425,6200
7,1,2,-1.7732618319862326,6000
8,1,2,0.3316263753547676,6200
9,1,2,0.30271288619784165,6000
10,1,2,0.30166338461471637,6300
11,1,2,-1.7200409040567766,6000
12,1,2,-0.7547723027099636,6300
13,2,2,-1.6486586255873816,939
14,2,2,-1.3121863889661687,604
15,2,2,-1.6486586255873816,1212
16,2,2,-1.466337068793427,186
17,2,2,-0.9555114450274363,345
18,3,2,-0.2827028090521737,375
19,3,2,-0.8076079540243509,851
20,3,2,-0.7218411322669259,2185
21,3,2,1.6778509056792301,375
22,3,2,1.234405613946696,851
23,3,2,0.8205456749157707,2185
24,3,2,-0.2980879936128978,375
25,3,2,0.12671473364542474,851
26,3,2,-1.1253644741395428,2185
27,3,2,1.8325814637483102,3768
28,4,2,-1.2702221898671366,3100
29,4,2,-1.4945079457601234,5300
30,4,2,-1.5156829428965821,4100
31,4,2,-1.622341317270008,1900
32,4,2,-0.7704803839631158,2200
33,4,2,-0.20299898522174223,1800
34,4,2,-1.235471471385307,1300
36,4,2,-0.5604225649053629,2000
37,4,2,-0.8748237840906534,2300
38,4,2,-1.0731332033671248,2200
39,4,2,-0.5108256237659905,1400
40,4,2,-2.093963249014453,2800
41,4,2,-0.6186648167882224,2400
42,4,2,-1.0651039991066924,1600
43,4,2,-0.29866395308127397,1700
44,4,2,-1.363304842895192,3100
45,4,2,-1.276293465905562,5300
46,4,2,-1.318853080324358,4100
47,4,2,-1.0870514662670336,1900
48,4,2,-1.2784053991087057,2200
49,4,2,-1.191394022119076,1800
50,4,2,-1.233953636537872,1300
51,4,2,-1.0021520224805476,NA
52,4,2,-0.604199694543449,2000
53,4,2,0.34967374847974886,2300
54,4,2,-0.6476848064831879,2200
56,4,2,-0.519300250756963,2800
57,4,2,0.4345731922662349,2400
58,4,2,-0.5627853626967019,1600
60,4,2,-0.3184537311185346,3100
61,4,2,0.6931471805599453,5300
62,4,2,-0.8649974374866044,4100
63,4,2,-0.4054651081081643,1900
64,4,2,1.7676619176489945,2200
65,4,2,0.6690496289808847,1800
66,4,2,1.315676793905937,1300
68,4,2,-0.10919929196499197,2000
69,4,2,-0.037740327982847086,2300
70,4,2,0.12260232209233247,2200
71,4,2,-0.3528213746227423,1400
72,4,2,-0.3184537311185346,2800
73,4,2,-1.6094379124341003,2400
74,4,2,-1.6582280766035324,1600
75,4,2,-0.2231435513142097,1700
77,5,2,0,6000
82,7,2,-0.11332868530700312,3400
83,7,2,-0.07145896398214498,3500
84,7,2,0.1758906664636642,4500
85,7,2,1.1786549963416462,4100
90,9,2,-2.5466840094842436,8130
91,9,2,-0.3894647667617233,5430
92,9,2,-0.3692620594442038,3410
93,9,2,-0.8735288725360734,4830
94,9,2,0.2173012756899813,3510
95,9,2,-0.9711673420999893,3180
96,9,2,-0.06899287148695143,4960
97,9,2,-1.6094379124341003,6470
98,9,2,-0.35667494393873245,4680
99,9,2,-2.090319659827019,4320
100,9,2,-1.029928583979107,3750
101,9,2,-0.5401011070528898,2940
102,9,2,0.024428695684961865,1960
103,9,2,-0.5240708505160114,3180
104,9,2,0.08206495305430421,3360
105,9,2,-0.6544326683792548,2250
106,9,2,-0.1038995950181515,3620
107,9,2,1.1786549963416462,3640
108,9,2,2.505525936990736,3290
109,9,2,1.777773227253315,3130
110,9,2,1.0704414117014134,3720
115,11,1.5,-2.4423470353692043,3766
116,11,1.5,-3.0643742062761548,4081
117,12,1.5,-0.2889699026362097,438
118,12,1.5,-0.4579784107804262,1205
119,12,1.5,-1.9280525316553068,2375
120,12,1.5,-1.0423122439795771,2360
121,12,1.5,-2.7041966317862203,9003
131,14,2.5,-0.14077561386128407,NA
132,14,2.5,-0.5223722702151513,NA
133,14,2.5,-0.0921704597996571,NA
134,14,2.5,-0.3420047541909387,NA
135,14,2.5,-0.05731445659598031,NA
136,14,2.5,-0.04733094896814443,NA
137,14,2.5,0.8689045403514133,NA
138,14,2.5,-0.365209376749668,NA
139,14,2.5,-0.13663550703058294,NA
140,15,1.5,-0.9016919324530024,3170
141,15,1.5,-0.7887515212724069,6310
142,15,1.5,-0.7506516750401364,7160
143,15,1.5,-1.538486176461816,6710
144,15,1.5,-0.46813621507094,130
145,15,1.5,-3.420065865966538,2890
146,15,1.5,-0.8016278235540153,750
147,15,1.5,-1.8106279535324377,2170
148,15,1.5,-0.9000678963672678,650
