pub_reference,years_in_place
Davis (2010),3
Bernstein et al. (2011),changed every year
"De Bruin et al., 2005",3
"Fisk et al., 2001",3
Forcella 2013,3
Delate et al. 2012,moved every year
"Gallagher et al., 2003",moved every year
"Gieske et al., 2016",moved every year
Hoffman et al. 1993,3
"Mock et al., 2012",5
"Werle et al., 2017",unclear
"Crawford et al., 2018",4
"Cornelius and Bradley,",3
"Currie and Klocke, 2005",3
"Williams et al., 1998",3
