obs_no,yieldLRR,weedLRR
1,-0.17570382624264919,-0.5885934418720592
2,-0.17425699695722421,0.38212127188978395
3,0.2526918802130296,-1.5119963179267508
4,-1.5563931861404345,-0.6308717029767321
5,-0.00326749139664043,-1.3844315850457003
6,-0.18946444430633483,0.4093935738241425
7,0.26236426446749106,-1.7732618319862326
8,0.21019045580274687,0.3316263753547676
9,0.13601463204312986,0.30271288619784165
10,-0.024667749647343685,0.30166338461471637
11,0.27095527864646746,-1.7200409040567766
12,0.33342086961557493,-0.7547723027099636
13,-0.36763265243627524,-1.6486586255873816
14,-0.22639648701304052,-1.3121863889661687
15,-0.20615218610647362,-1.6486586255873816
16,-0.27395690503066583,-1.466337068793427
17,-0.3307946313137502,-0.9555114450274363
18,0.11735060321721236,-0.2827028090521737
19,0.1208048380852999,-0.8076079540243509
20,0.2530422904818432,-0.7218411322669259
21,-2.247776856499051,1.6778509056792301
22,-1.2922654114716141,1.234405613946696
23,-0.9855351440491389,0.8205456749157707
24,-0.2876820724517809,-0.2980879936128978
25,-0.054262858559366973,0.12671473364542474
26,0.02777956410707567,-1.1253644741395428
27,0.5676094356161683,1.8325814637483102
28,NA,-1.2702221898671366
29,NA,-1.4945079457601234
30,NA,-1.5156829428965821
31,NA,-1.622341317270008
32,NA,-0.7704803839631158
33,NA,-0.20299898522174223
34,NA,-1.235471471385307
36,NA,-0.5604225649053629
37,NA,-0.8748237840906534
38,NA,-1.0731332033671248
39,NA,-0.5108256237659905
40,NA,-2.093963249014453
41,NA,-0.6186648167882224
42,NA,-1.0651039991066924
43,NA,-0.29866395308127397
44,NA,-1.363304842895192
45,NA,-1.276293465905562
46,NA,-1.318853080324358
47,NA,-1.0870514662670336
48,NA,-1.2784053991087057
49,NA,-1.191394022119076
50,NA,-1.233953636537872
51,NA,-1.0021520224805476
52,NA,-0.604199694543449
53,NA,0.34967374847974886
54,NA,-0.6476848064831879
56,NA,-0.519300250756963
57,NA,0.4345731922662349
58,NA,-0.5627853626967019
60,NA,-0.3184537311185346
61,NA,0.6931471805599453
62,NA,-0.8649974374866044
63,NA,-0.4054651081081643
64,NA,1.7676619176489945
65,NA,0.6690496289808847
66,NA,1.315676793905937
68,NA,-0.10919929196499197
69,NA,-0.037740327982847086
70,NA,0.12260232209233247
71,NA,-0.3528213746227423
72,NA,-0.3184537311185346
73,NA,-1.6094379124341003
74,NA,-1.6582280766035324
75,NA,-0.2231435513142097
76,-0.23841102344499823,-6.115892125483034
77,0,0
82,0.2451224580329849,-0.11332868530700312
83,0.20763936477824455,-0.07145896398214498
84,-0.1261512853269,0.1758906664636642
85,0.05715841383994862,1.1786549963416462
90,-5.498192290922892,-2.5466840094842436
91,-1.1807041773865816,-0.3894647667617233
92,-0.1973780441762683,-0.3692620594442038
93,-0.11501234485728512,-0.8735288725360734
94,-0.22577551657095207,0.2173012756899813
95,-0.10587986129401256,-0.9711673420999893
96,0.346643630522196,-0.06899287148695143
97,0.10536051565782635,-1.6094379124341003
98,0.05851760689775151,-0.35667494393873245
99,-1.1271856611121658,-2.090319659827019
100,-1.73695123273306,-1.029928583979107
